step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,31.854429244995117,0.009521484375,11.54068660736084,8.492557525634766
2,1,13.589462280273438,0.0391845703125,75.14229583740234,4.853285312652588
3,100,1.872737169265747,0.12994384765625,1395.1351318359375,2.2668848037719727
4,200,1.6872925758361816,0.15478515625,1962.8988037109375,1.9247069358825684
5,300,1.590179443359375,0.17791748046875,2421.085205078125,2.0618605613708496
6,400,1.5296850204467773,0.2010498046875,2853.569580078125,1.7472002506256104
7,500,1.4776984453201294,0.22259521484375,3255.2431640625,1.8504927158355713
8,600,1.4368952512741089,0.24298095703125,3604.294677734375,1.8925237655639648
9,700,1.400844693183899,0.26263427734375,3912.417236328125,2.0554277896881104
10,800,1.3741352558135986,0.28314208984375,4251.337890625,1.7900038957595825
11,900,1.3476589918136597,0.30224609375,4568.28076171875,1.4744521379470825
12,1000,1.3313393592834473,0.3199462890625,4857.36669921875,1.6093316078186035
13,1100,1.3097833395004272,0.33795166015625,5148.38427734375,1.4254882335662842
14,1200,1.2933849096298218,0.3558349609375,5446.38232421875,1.876857042312622
15,1300,1.2755569219589233,0.37298583984375,5724.51708984375,1.4177663326263428
16,1400,1.2608578205108643,0.38897705078125,5975.728515625,1.9781750440597534
17,1500,1.2432068586349487,0.405517578125,6246.79248046875,1.4185622930526733
18,1600,1.2319971323013306,0.42083740234375,6484.57568359375,1.4677693843841553
19,1700,1.2226368188858032,0.436767578125,6741.759765625,1.5044610500335693
20,1800,1.2124427556991577,0.453125,6995.8681640625,1.2524619102478027
21,1900,1.1967021226882935,0.46990966796875,7260.55859375,1.3704594373703003
22,2000,1.1881951093673706,0.4849853515625,7499.58984375,1.3804655075073242
