step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,268.81939697265625,0.0013427734375,1.4787404537200928,19.806222915649414
2,1,186.52645874023438,0.00018310546875,1.770289421081543,19.801645278930664
3,100,8.016449928283691,6.103515625e-05,1.0,19.845745086669922
4,200,7.999974727630615,6.103515625e-05,1.0,19.84170150756836
5,300,7.988337516784668,6.103515625e-05,1.0,19.844884872436523
6,400,8.00549602508545,6.103515625e-05,1.0,19.844867706298828
7,500,8.001481056213379,6.103515625e-05,1.0,19.850200653076172
8,600,8.007349014282227,6.103515625e-05,1.0,19.846389770507812
9,700,7.9830322265625,6.103515625e-05,1.0,19.845333099365234
10,800,7.999337196350098,6.103515625e-05,1.0,19.8408145904541
11,900,7.9896087646484375,6.103515625e-05,1.0,19.841075897216797
12,1000,8.010472297668457,6.103515625e-05,1.0,19.847129821777344
13,1100,7.998894691467285,6.103515625e-05,1.0,19.84552764892578
14,1200,8.00979232788086,6.103515625e-05,1.0,19.847061157226562
15,1300,8.009748458862305,6.103515625e-05,1.0,19.843198776245117
16,1400,8.00230884552002,6.103515625e-05,1.0,19.849088668823242
17,1500,7.978926181793213,6.103515625e-05,1.0,19.84490394592285
18,1600,7.993704795837402,6.103515625e-05,1.0,19.843257904052734
19,1700,8.013154029846191,6.103515625e-05,1.0,19.845726013183594
20,1800,8.00959587097168,6.103515625e-05,1.0,19.843170166015625
21,1900,7.98898983001709,6.103515625e-05,1.0,19.84610939025879
22,2000,7.998935222625732,6.103515625e-05,1.0,19.847057342529297
