step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,31.854429244995117,0.009521484375,11.54068660736084,8.492557525634766
2,1,16.84254264831543,0.00482177734375,4.252951622009277,8.487472534179688
3,100,4.129617214202881,0.013427734375,34.49188995361328,7.365425109863281
4,200,3.4652743339538574,0.03094482421875,79.37358093261719,6.13350772857666
5,300,2.7242624759674072,0.08465576171875,237.07061767578125,4.900522232055664
6,400,2.134697914123535,0.2283935546875,750.51025390625,3.6558849811553955
7,500,1.6110422611236572,0.542236328125,2597.509765625,2.407839059829712
8,600,1.2081114053726196,0.93182373046875,8469.474609375,1.150187373161316
9,700,1.0456149578094482,0.99432373046875,14608.3818359375,0.0408373698592186
10,800,1.0384187698364258,0.9945068359375,14666.3134765625,0.017492838203907013
11,900,1.0285834074020386,0.9952392578125,14728.2509765625,0.017219210043549538
12,1000,1.0252798795700073,0.996826171875,14793.384765625,0.015891049057245255
13,1100,1.0193829536437988,0.99737548828125,14813.6728515625,0.014215006493031979
14,1200,1.0158751010894775,0.99652099609375,14835.4443359375,0.01757241040468216
15,1300,1.011587142944336,0.99627685546875,14864.9296875,0.01996280439198017
16,1400,1.0087002515792847,0.997314453125,14881.2568359375,0.016735060140490532
17,1500,1.001452088356018,0.99725341796875,14894.1904296875,0.013436797074973583
18,1600,1.002618670463562,0.9974365234375,14918.314453125,0.015620904974639416
19,1700,1.0008816719055176,0.9979248046875,14944.8720703125,0.013358179479837418
20,1800,0.999751091003418,0.99810791015625,14962.7265625,0.018551697954535484
21,1900,0.9943079948425293,0.9979248046875,14951.6142578125,0.015050580725073814
22,2000,0.9939534664154053,0.9979248046875,14958.4169921875,0.018460022285580635
