step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,431.22259521484375,0.00018310546875,2.8687727451324463,22.6282958984375
2,1,5.583902359008789,0.0372314453125,18.698442459106445,2.73726749420166
3,100,0.7805576324462891,0.03204345703125,189.16949462890625,2.3509085178375244
4,200,0.6156765222549438,0.04583740234375,437.06103515625,2.022228479385376
5,300,0.5448291897773743,0.05682373046875,686.1046752929688,1.8744958639144897
6,400,0.5077383518218994,0.0670166015625,884.5609130859375,1.881627082824707
7,500,0.4810039699077606,0.0777587890625,1081.453369140625,1.7837415933609009
8,600,0.4588841199874878,0.0877685546875,1269.040283203125,1.716610312461853
9,700,0.4425903856754303,0.09783935546875,1430.988037109375,1.5464564561843872
10,800,0.42926037311553955,0.10760498046875,1588.4256591796875,1.6595255136489868
11,900,0.4184779226779938,0.116943359375,1732.959228515625,1.5460329055786133
12,1000,0.40865716338157654,0.12652587890625,1885.604248046875,1.6792157888412476
13,1100,0.400601863861084,0.135498046875,2017.45947265625,1.5863224267959595
14,1200,0.3931466042995453,0.14434814453125,2152.109619140625,1.7422670125961304
15,1300,0.38633275032043457,0.1529541015625,2286.54541015625,1.6560338735580444
16,1400,0.38064107298851013,0.16162109375,2417.02734375,1.6932419538497925
17,1500,0.37466514110565186,0.1702880859375,2547.415283203125,1.5621651411056519
18,1600,0.3688952922821045,0.1787109375,2683.319091796875,1.7305560111999512
19,1700,0.3638952672481537,0.1868896484375,2821.57958984375,1.9687304496765137
20,1800,0.3598184287548065,0.1949462890625,2943.765869140625,1.5924466848373413
21,1900,0.35563620924949646,0.20404052734375,3076.651611328125,1.4010432958602905
22,2000,0.3510553538799286,0.21295166015625,3207.2822265625,1.4365671873092651
