step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,2.656278371810913,0.04730224609375,72.00508117675781,2.8293750286102295
2,1,2.4598286151885986,0.04644775390625,50.204933166503906,2.8264577388763428
3,100,0.8260069489479065,0.03546142578125,152.27239990234375,2.816889762878418
4,200,0.7473627328872681,0.036865234375,200.2852783203125,2.8131825923919678
5,300,0.7086949944496155,0.03759765625,235.1191864013672,2.8090968132019043
6,400,0.6824867129325867,0.03753662109375,266.0448303222656,2.8059139251708984
7,500,0.6608595848083496,0.03814697265625,295.8305969238281,2.803950309753418
8,600,0.6460419297218323,0.038330078125,322.1268005371094,2.8035011291503906
9,700,0.6329498887062073,0.04150390625,347.19427490234375,2.7981536388397217
10,800,0.6211612224578857,0.04083251953125,368.6762390136719,2.796052932739258
11,900,0.6120824813842773,0.04095458984375,390.25701904296875,2.7942800521850586
12,1000,0.6051853895187378,0.0418701171875,409.3305358886719,2.7926833629608154
13,1100,0.5977283716201782,0.0421142578125,427.61114501953125,2.7903292179107666
14,1200,0.5923046469688416,0.04315185546875,444.5553283691406,2.790311336517334
15,1300,0.5865086317062378,0.04290771484375,459.2585754394531,2.7887041568756104
16,1400,0.5827466249465942,0.0443115234375,474.1853332519531,2.785621404647827
17,1500,0.5781130194664001,0.0452880859375,488.6029968261719,2.7838802337646484
18,1600,0.5736535787582397,0.0462646484375,501.6263427734375,2.7834863662719727
19,1700,0.5698001384735107,0.04638671875,513.5195922851562,2.7829015254974365
20,1800,0.5658891201019287,0.04595947265625,525.303466796875,2.781843900680542
21,1900,0.5644782781600952,0.04608154296875,536.1488647460938,2.7804083824157715
22,2000,0.5606688857078552,0.0472412109375,546.7672729492188,2.7808828353881836
