dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_transplant_True
saver_name_pre: wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 3.3964, rec_loss 0.4142, p_loss 0.7748, quant_error1 0.5478, quant_error 0.9568, utilization 0.4543, perplexity 2231.3478,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 2.8590, rec_loss 0.2805, p_loss 0.6949, quant_error1 0.5411, quant_error 0.7690, utilization 0.5469, perplexity 2902.9475,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 2.5476, rec_loss 0.2188, p_loss 0.6308, quant_error1 0.5184, quant_error 0.6765, utilization 0.6382, perplexity 3473.0307,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 2.3378, rec_loss 0.1843, p_loss 0.5811, quant_error1 0.4980, quant_error 0.6202, utilization 0.7136, perplexity 4109.0982,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 2.1896, rec_loss 0.1604, p_loss 0.5418, quant_error1 0.4847, quant_error 0.5849, utilization 0.7659, perplexity 4631.9079,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 1.7846, rec_loss 0.0880, p_loss 0.4527, quant_error1 0.4508, quant_error 0.4713, utilization 0.8713, perplexity 5528.6105,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 1.5730, rec_loss 0.0677, p_loss 0.3902, quant_error1 0.4159, quant_error 0.4290, utilization 0.9396, perplexity 6059.1000,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 1.4358, rec_loss 0.0574, p_loss 0.3469, quant_error1 0.3942, quant_error 0.4053, utilization 0.9712, perplexity 6284.1571,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 1.3382, rec_loss 0.0499, p_loss 0.3162, quant_error1 0.3789, quant_error 0.3888, utilization 0.9788, perplexity 6204.8124,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 1.2617, rec_loss 0.0451, p_loss 0.2952, quant_error1 0.3646, quant_error 0.3735, utilization 0.9799, perplexity 6005.7387,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 1.2436, rec_loss 0.0433, p_loss 0.2850, quant_error1 0.3665, quant_error 0.3749, utilization 0.9795, perplexity 5759.1714,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 1.2281, rec_loss 0.0421, p_loss 0.2770, quant_error1 0.3650, quant_error 0.3728, utilization 0.9791, perplexity 5533.7810,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 1.2254, rec_loss 0.0414, p_loss 0.2742, quant_error1 0.3655, quant_error 0.3731, utilization 0.9796, perplexity 5385.2484,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 1.1988, rec_loss 0.0399, p_loss 0.2704, quant_error1 0.3558, quant_error 0.3632, utilization 0.9800, perplexity 5136.0194,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 1.1964, rec_loss 0.0396, p_loss 0.2680, quant_error1 0.3558, quant_error 0.3632, utilization 0.9803, perplexity 4882.1545,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 1.1739, rec_loss 0.0385, p_loss 0.2643, quant_error1 0.3478, quant_error 0.3551, utilization 0.9808, perplexity 4622.1224,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 1.1644, rec_loss 0.0380, p_loss 0.2632, quant_error1 0.3445, quant_error 0.3516, utilization 0.9814, perplexity 4418.6176,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 1.1483, rec_loss 0.0374, p_loss 0.2593, quant_error1 0.3394, quant_error 0.3463, utilization 0.9819, perplexity 4263.0227,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 1.1541, rec_loss 0.0373, p_loss 0.2569, quant_error1 0.3436, quant_error 0.3502, utilization 0.9826, perplexity 4188.1899,
Train Epoch: [1/5] Iters:[200/20018] transplant_loss 1.1460, rec_loss 0.0368, p_loss 0.2537, quant_error1 0.3416, quant_error 0.3478, utilization 0.9833, perplexity 4132.4179,
Train Epoch: [1/5] Iters:[210/20018] transplant_loss 1.1338, rec_loss 0.0363, p_loss 0.2493, quant_error1 0.3386, quant_error 0.3444, utilization 0.9837, perplexity 4072.5444,
Train Epoch: [1/5] Iters:[220/20018] transplant_loss 1.1321, rec_loss 0.0358, p_loss 0.2460, quant_error1 0.3400, quant_error 0.3453, utilization 0.9841, perplexity 4057.0406,
Train Epoch: [1/5] Iters:[230/20018] transplant_loss 1.1312, rec_loss 0.0352, p_loss 0.2436, quant_error1 0.3410, quant_error 0.3459, utilization 0.9843, perplexity 3978.8088,
Train Epoch: [1/5] Iters:[240/20018] transplant_loss 1.1347, rec_loss 0.0355, p_loss 0.2416, quant_error1 0.3432, quant_error 0.3475, utilization 0.9845, perplexity 3927.1000,
Train Epoch: [1/5] Iters:[250/20018] transplant_loss 1.1223, rec_loss 0.0347, p_loss 0.2371, quant_error1 0.3404, quant_error 0.3438, utilization 0.9844, perplexity 3864.3203,
Train Epoch: [1/5] Iters:[260/20018] transplant_loss 1.1101, rec_loss 0.0341, p_loss 0.2342, quant_error1 0.3370, quant_error 0.3393, utilization 0.9846, perplexity 3850.0448,
Train Epoch: [1/5] Iters:[270/20018] transplant_loss 1.0981, rec_loss 0.0337, p_loss 0.2295, quant_error1 0.3348, quant_error 0.3356, utilization 0.9847, perplexity 3790.8578,
Train Epoch: [1/5] Iters:[280/20018] transplant_loss 1.0790, rec_loss 0.0329, p_loss 0.2236, quant_error1 0.3300, quant_error 0.3288, utilization 0.9849, perplexity 3786.0931,
Train Epoch: [1/5] Iters:[290/20018] transplant_loss 1.0605, rec_loss 0.0316, p_loss 0.2171, quant_error1 0.3266, quant_error 0.3232, utilization 0.9850, perplexity 3789.8488,
Train Epoch: [1/5] Iters:[300/20018] transplant_loss 1.0584, rec_loss 0.0314, p_loss 0.2125, quant_error1 0.3291, quant_error 0.3228, utilization 0.9849, perplexity 3742.7656,
Train Epoch: [1/5] Iters:[310/20018] transplant_loss 1.0544, rec_loss 0.0307, p_loss 0.2089, quant_error1 0.3301, quant_error 0.3210, utilization 0.9851, perplexity 3732.4252,
Train Epoch: [1/5] Iters:[320/20018] transplant_loss 1.0556, rec_loss 0.0308, p_loss 0.2068, quant_error1 0.3323, quant_error 0.3201, utilization 0.9852, perplexity 3738.2586,
Train Epoch: [1/5] Iters:[330/20018] transplant_loss 1.0610, rec_loss 0.0309, p_loss 0.2048, quant_error1 0.3366, quant_error 0.3212, utilization 0.9853, perplexity 3766.7666,
Train Epoch: [1/5] Iters:[340/20018] transplant_loss 1.0506, rec_loss 0.0303, p_loss 0.2014, quant_error1 0.3344, quant_error 0.3163, utilization 0.9852, perplexity 3708.3685,
Train Epoch: [1/5] Iters:[350/20018] transplant_loss 1.0380, rec_loss 0.0295, p_loss 0.1996, quant_error1 0.3309, quant_error 0.3101, utilization 0.9855, perplexity 3738.6379,
Train Epoch: [1/5] Iters:[360/20018] transplant_loss 1.0382, rec_loss 0.0294, p_loss 0.1970, quant_error1 0.3334, quant_error 0.3098, utilization 0.9856, perplexity 3757.7593,
Train Epoch: [1/5] Iters:[370/20018] transplant_loss 1.0237, rec_loss 0.0282, p_loss 0.1936, quant_error1 0.3301, quant_error 0.3042, utilization 0.9857, perplexity 3759.0463,
Train Epoch: [1/5] Iters:[380/20018] transplant_loss 1.0186, rec_loss 0.0281, p_loss 0.1913, quant_error1 0.3300, quant_error 0.3013, utilization 0.9857, perplexity 3737.5004,
Train Epoch: [1/5] Iters:[390/20018] transplant_loss 1.0243, rec_loss 0.0283, p_loss 0.1916, quant_error1 0.3334, quant_error 0.3019, utilization 0.9857, perplexity 3742.2856,
Train Epoch: [1/5] Iters:[400/20018] transplant_loss 1.0117, rec_loss 0.0279, p_loss 0.1885, quant_error1 0.3301, quant_error 0.2970, utilization 0.9856, perplexity 3719.8214,
Train Epoch: [1/5] Iters:[410/20018] transplant_loss 1.0037, rec_loss 0.0275, p_loss 0.1868, quant_error1 0.3282, quant_error 0.2932, utilization 0.9858, perplexity 3716.8526,
