dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_10
saver_name_pre: wasserstein_vq_refinement_True_10_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss -0.8271, rec_loss 0.0235, lpips_loss 0.1791, g_loss -0.1784, disc_weight 0.5000, disc_adaptive_weight 5.5725, d_loss 2.4870, logits_real 0.1403, logits_fake 0.1815,
Train Epoch: [1/10] Iters:[20/20018] gen_loss -1.0599, rec_loss 0.0255, lpips_loss 0.1837, g_loss -0.1969, disc_weight 0.5000, disc_adaptive_weight 6.2668, d_loss 2.2520, logits_real 0.1449, logits_fake 0.1991,
Train Epoch: [1/10] Iters:[30/20018] gen_loss -0.9399, rec_loss 0.0255, lpips_loss 0.1852, g_loss -0.1943, disc_weight 0.5000, disc_adaptive_weight 5.7734, d_loss 2.0601, logits_real 0.1458, logits_fake 0.1961,
Train Epoch: [1/10] Iters:[40/20018] gen_loss -0.7720, rec_loss 0.0262, lpips_loss 0.1861, g_loss -0.1868, disc_weight 0.5000, disc_adaptive_weight 5.0705, d_loss 1.9133, logits_real 0.1451, logits_fake 0.1883,
Train Epoch: [1/10] Iters:[50/20018] gen_loss -0.6599, rec_loss 0.0264, lpips_loss 0.1871, g_loss -0.1817, disc_weight 0.5000, disc_adaptive_weight 4.5905, d_loss 1.7949, logits_real 0.1447, logits_fake 0.1824,
Train Epoch: [1/10] Iters:[60/20018] gen_loss -0.5220, rec_loss 0.0267, lpips_loss 0.1867, g_loss -0.1783, disc_weight 0.5000, disc_adaptive_weight 3.8953, d_loss 1.5380, logits_real 0.1456, logits_fake 0.1784,
Train Epoch: [1/10] Iters:[70/20018] gen_loss -0.2861, rec_loss 0.0261, lpips_loss 0.1848, g_loss -0.1668, disc_weight 0.5000, disc_adaptive_weight 2.9015, d_loss 1.3566, logits_real 0.1445, logits_fake 0.1666,
Train Epoch: [1/10] Iters:[80/20018] gen_loss -0.1629, rec_loss 0.0265, lpips_loss 0.1842, g_loss -0.1591, disc_weight 0.5000, disc_adaptive_weight 2.3384, d_loss 1.2329, logits_real 0.1437, logits_fake 0.1590,
Train Epoch: [1/10] Iters:[90/20018] gen_loss -0.1333, rec_loss 0.0261, lpips_loss 0.1827, g_loss -0.1551, disc_weight 0.5000, disc_adaptive_weight 2.2004, d_loss 1.1393, logits_real 0.1441, logits_fake 0.1550,
Train Epoch: [1/10] Iters:[100/20018] gen_loss -0.1210, rec_loss 0.0258, lpips_loss 0.1810, g_loss -0.1504, disc_weight 0.5000, disc_adaptive_weight 2.1836, d_loss 1.0645, logits_real 0.1441, logits_fake 0.1513,
Train Epoch: [1/10] Iters:[110/20018] gen_loss -0.1097, rec_loss 0.0263, lpips_loss 0.1827, g_loss -0.1454, disc_weight 0.5000, disc_adaptive_weight 2.1946, d_loss 1.0082, logits_real 0.1436, logits_fake 0.1462,
