dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_10
saver_name_pre: wasserstein_vq_refinement_True_10_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss 0.6143, rec_loss 0.0225, lpips_loss 0.1724, g_loss 0.1994, disc_weight 0.5000, disc_adaptive_weight 2.1294, d_loss 2.5330, logits_real -0.1890, logits_fake -0.2041,
Train Epoch: [1/10] Iters:[20/20018] gen_loss 0.5967, rec_loss 0.0243, lpips_loss 0.1751, g_loss 0.2019, disc_weight 0.5000, disc_adaptive_weight 1.9859, d_loss 2.2877, logits_real -0.1888, logits_fake -0.2037,
Train Epoch: [1/10] Iters:[30/20018] gen_loss 0.5930, rec_loss 0.0241, lpips_loss 0.1761, g_loss 0.1982, disc_weight 0.5000, disc_adaptive_weight 1.9910, d_loss 2.0895, logits_real -0.1886, logits_fake -0.1995,
Train Epoch: [1/10] Iters:[40/20018] gen_loss 0.5990, rec_loss 0.0246, lpips_loss 0.1767, g_loss 0.1967, disc_weight 0.5000, disc_adaptive_weight 2.0290, d_loss 1.9408, logits_real -0.1870, logits_fake -0.1974,
Train Epoch: [1/10] Iters:[50/20018] gen_loss 0.6784, rec_loss 0.0250, lpips_loss 0.1781, g_loss 0.1984, disc_weight 0.5000, disc_adaptive_weight 2.3881, d_loss 1.8195, logits_real -0.1868, logits_fake -0.1984,
Train Epoch: [1/10] Iters:[60/20018] gen_loss 0.7048, rec_loss 0.0253, lpips_loss 0.1778, g_loss 0.1985, disc_weight 0.5000, disc_adaptive_weight 2.5126, d_loss 1.5569, logits_real -0.1855, logits_fake -0.1974,
Train Epoch: [1/10] Iters:[70/20018] gen_loss 0.7160, rec_loss 0.0248, lpips_loss 0.1767, g_loss 0.1950, disc_weight 0.5000, disc_adaptive_weight 2.6126, d_loss 1.3737, logits_real -0.1835, logits_fake -0.1947,
Train Epoch: [1/10] Iters:[80/20018] gen_loss 0.7055, rec_loss 0.0253, lpips_loss 0.1766, g_loss 0.1940, disc_weight 0.5000, disc_adaptive_weight 2.5681, d_loss 1.2487, logits_real -0.1815, logits_fake -0.1935,
Train Epoch: [1/10] Iters:[90/20018] gen_loss 0.6892, rec_loss 0.0251, lpips_loss 0.1759, g_loss 0.1923, disc_weight 0.5000, disc_adaptive_weight 2.5036, d_loss 1.1526, logits_real -0.1806, logits_fake -0.1917,
Train Epoch: [1/10] Iters:[100/20018] gen_loss 0.6015, rec_loss 0.0247, lpips_loss 0.1744, g_loss 0.1871, disc_weight 0.5000, disc_adaptive_weight 2.1370, d_loss 1.0781, logits_real -0.1786, logits_fake -0.1868,
Train Epoch: [1/10] Iters:[110/20018] gen_loss 0.5663, rec_loss 0.0251, lpips_loss 0.1758, g_loss 0.1826, disc_weight 0.5000, disc_adaptive_weight 2.0015, d_loss 1.0198, logits_real -0.1770, logits_fake -0.1822,
