dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 50
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_FFHQ_model_16384_16_loss_1.0_0.2_1.0_0.4-50.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: FFHQ
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_FFHQ_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/50] Iters:[10/1093] gen_loss 1.6109, rec_loss 0.0336, lpips_loss 0.3296, g_loss 0.0939, disc_weight 0.4000, disc_adaptive_weight 48.4568, d_loss 2.4150, logits_real -0.2955, logits_fake -0.0807,
Train Epoch: [1/50] Iters:[20/1093] gen_loss 0.0667, rec_loss 0.0947, lpips_loss 0.5545, g_loss 0.0307, disc_weight 0.4000, disc_adaptive_weight 62.6877, d_loss 2.1329, logits_real -0.2904, logits_fake -0.0231,
Train Epoch: [1/50] Iters:[30/1093] gen_loss 0.3786, rec_loss 0.1355, lpips_loss 0.6783, g_loss 0.0188, disc_weight 0.4000, disc_adaptive_weight 63.3746, d_loss 1.9325, logits_real -0.2888, logits_fake -0.0147,
Train Epoch: [1/50] Iters:[40/1093] gen_loss 1.1011, rec_loss 0.1666, lpips_loss 0.7604, g_loss 0.0249, disc_weight 0.4000, disc_adaptive_weight 58.7893, d_loss 1.7921, logits_real -0.2870, logits_fake -0.0231,
Train Epoch: [1/50] Iters:[50/1093] gen_loss 1.6374, rec_loss 0.1787, lpips_loss 0.8092, g_loss 0.0377, disc_weight 0.4000, disc_adaptive_weight 52.8008, d_loss 1.6820, logits_real -0.2854, logits_fake -0.0379,
Train Epoch: [1/50] Iters:[60/1093] gen_loss 2.7536, rec_loss 0.2039, lpips_loss 0.9318, g_loss 0.0424, disc_weight 0.4000, disc_adaptive_weight 52.9728, d_loss 1.4252, logits_real -0.2816, logits_fake -0.0467,
Train Epoch: [1/50] Iters:[70/1093] gen_loss 5.5756, rec_loss 0.2078, lpips_loss 0.9398, g_loss 0.0779, disc_weight 0.4000, disc_adaptive_weight 53.3122, d_loss 1.2624, logits_real -0.2787, logits_fake -0.0828,
Train Epoch: [1/50] Iters:[80/1093] gen_loss 6.7574, rec_loss 0.2068, lpips_loss 0.9054, g_loss 0.1128, disc_weight 0.4000, disc_adaptive_weight 47.4610, d_loss 1.1433, logits_real -0.2753, logits_fake -0.1172,
Train Epoch: [1/50] Iters:[90/1093] gen_loss 6.5896, rec_loss 0.1961, lpips_loss 0.8463, g_loss 0.1445, disc_weight 0.4000, disc_adaptive_weight 39.9674, d_loss 1.0341, logits_real -0.2723, logits_fake -0.1461,
Train Epoch: [1/50] Iters:[100/1093] gen_loss 6.3587, rec_loss 0.1879, lpips_loss 0.7843, g_loss 0.1667, disc_weight 0.4000, disc_adaptive_weight 35.9554, d_loss 0.9352, logits_real -0.2687, logits_fake -0.1665,
Train Epoch: [1/50] Iters:[110/1093] gen_loss 5.2268, rec_loss 0.1875, lpips_loss 0.7331, g_loss 0.1770, disc_weight 0.4000, disc_adaptive_weight 26.9320, d_loss 0.8564, logits_real -0.2637, logits_fake -0.1753,
