dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 50
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_FFHQ_model_32768_16_loss_1.0_0.2_1.0_0.4-50.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: FFHQ
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_FFHQ_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/50] Iters:[10/1093] gen_loss -1.0470, rec_loss 0.0104, lpips_loss 0.1369, g_loss -0.3081, disc_weight 0.4000, disc_adaptive_weight 3.9517, d_loss 2.4767, logits_real 0.3325, logits_fake 0.3088,
Train Epoch: [1/50] Iters:[20/1093] gen_loss -1.4022, rec_loss 0.0116, lpips_loss 0.1477, g_loss -0.2698, disc_weight 0.4000, disc_adaptive_weight 6.2381, d_loss 2.1732, logits_real 0.3299, logits_fake 0.2690,
Train Epoch: [1/50] Iters:[30/1093] gen_loss -1.7347, rec_loss 0.0137, lpips_loss 0.1788, g_loss -0.2281, disc_weight 0.4000, disc_adaptive_weight 10.1981, d_loss 1.9707, logits_real 0.3280, logits_fake 0.2238,
Train Epoch: [1/50] Iters:[40/1093] gen_loss -2.0309, rec_loss 0.0160, lpips_loss 0.2107, g_loss -0.2059, disc_weight 0.4000, disc_adaptive_weight 13.5176, d_loss 1.8219, logits_real 0.3268, logits_fake 0.2033,
Train Epoch: [1/50] Iters:[50/1093] gen_loss -2.1360, rec_loss 0.0191, lpips_loss 0.2337, g_loss -0.1965, disc_weight 0.4000, disc_adaptive_weight 14.4929, d_loss 1.7051, logits_real 0.3251, logits_fake 0.1967,
Train Epoch: [1/50] Iters:[60/1093] gen_loss -2.3918, rec_loss 0.0277, lpips_loss 0.3047, g_loss -0.1646, disc_weight 0.4000, disc_adaptive_weight 17.5660, d_loss 1.4398, logits_real 0.3219, logits_fake 0.1659,
Train Epoch: [1/50] Iters:[70/1093] gen_loss -2.4750, rec_loss 0.0417, lpips_loss 0.3951, g_loss -0.1540, disc_weight 0.4000, disc_adaptive_weight 19.0599, d_loss 1.2758, logits_real 0.3191, logits_fake 0.1552,
Train Epoch: [1/50] Iters:[80/1093] gen_loss -3.0449, rec_loss 0.0572, lpips_loss 0.4722, g_loss -0.1668, disc_weight 0.4000, disc_adaptive_weight 21.1391, d_loss 1.1623, logits_real 0.3163, logits_fake 0.1699,
Train Epoch: [1/50] Iters:[90/1093] gen_loss -3.5893, rec_loss 0.0707, lpips_loss 0.5288, g_loss -0.1804, disc_weight 0.4000, disc_adaptive_weight 22.5932, d_loss 1.0758, logits_real 0.3130, logits_fake 0.1823,
Train Epoch: [1/50] Iters:[100/1093] gen_loss -3.8959, rec_loss 0.0817, lpips_loss 0.5839, g_loss -0.1914, disc_weight 0.4000, disc_adaptive_weight 23.3528, d_loss 1.0017, logits_real 0.3101, logits_fake 0.1918,
Train Epoch: [1/50] Iters:[110/1093] gen_loss -3.9965, rec_loss 0.0882, lpips_loss 0.6035, g_loss -0.2060, disc_weight 0.4000, disc_adaptive_weight 22.6440, d_loss 0.9358, logits_real 0.3069, logits_fake 0.2044,
