dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_10
saver_name_pre: wasserstein_vq_refinement_False_10_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss 6.6235, rec_loss 0.0277, lpips_loss 0.2392, g_loss 0.3848, disc_weight 0.4000, disc_adaptive_weight 15.2948, d_loss 2.5674, logits_real -0.2907, logits_fake -0.3909,
Train Epoch: [1/10] Iters:[20/20018] gen_loss 12.9515, rec_loss 0.0418, lpips_loss 0.3495, g_loss 0.4542, disc_weight 0.4000, disc_adaptive_weight 25.6631, d_loss 2.3179, logits_real -0.2861, logits_fake -0.4557,
Train Epoch: [1/10] Iters:[30/20018] gen_loss 12.7240, rec_loss 0.0431, lpips_loss 0.3705, g_loss 0.4720, disc_weight 0.4000, disc_adaptive_weight 24.8906, d_loss 2.1076, logits_real -0.2841, logits_fake -0.4699,
Train Epoch: [1/10] Iters:[40/20018] gen_loss 11.0947, rec_loss 0.0468, lpips_loss 0.3783, g_loss 0.4548, disc_weight 0.4000, disc_adaptive_weight 22.2096, d_loss 1.9805, logits_real -0.2820, logits_fake -0.4522,
Train Epoch: [1/10] Iters:[50/20018] gen_loss 9.8681, rec_loss 0.0537, lpips_loss 0.3958, g_loss 0.4441, disc_weight 0.4000, disc_adaptive_weight 19.9693, d_loss 1.8747, logits_real -0.2798, logits_fake -0.4415,
Train Epoch: [1/10] Iters:[60/20018] gen_loss 9.4485, rec_loss 0.0660, lpips_loss 0.4551, g_loss 0.4459, disc_weight 0.4000, disc_adaptive_weight 18.8804, d_loss 1.6196, logits_real -0.2750, logits_fake -0.4407,
Train Epoch: [1/10] Iters:[70/20018] gen_loss 6.3271, rec_loss 0.0670, lpips_loss 0.4543, g_loss 0.4038, disc_weight 0.4000, disc_adaptive_weight 13.7356, d_loss 1.4383, logits_real -0.2717, logits_fake -0.3985,
Train Epoch: [1/10] Iters:[80/20018] gen_loss 4.5274, rec_loss 0.0677, lpips_loss 0.4382, g_loss 0.3538, disc_weight 0.4000, disc_adaptive_weight 11.3054, d_loss 1.3285, logits_real -0.2676, logits_fake -0.3501,
Train Epoch: [1/10] Iters:[90/20018] gen_loss 3.6693, rec_loss 0.0653, lpips_loss 0.4088, g_loss 0.3245, disc_weight 0.4000, disc_adaptive_weight 9.7298, d_loss 1.2198, logits_real -0.2639, logits_fake -0.3217,
Train Epoch: [1/10] Iters:[100/20018] gen_loss 2.9934, rec_loss 0.0555, lpips_loss 0.3596, g_loss 0.2937, disc_weight 0.4000, disc_adaptive_weight 8.6008, d_loss 1.1230, logits_real -0.2605, logits_fake -0.2913,
Train Epoch: [1/10] Iters:[110/20018] gen_loss 2.3568, rec_loss 0.0449, lpips_loss 0.2952, g_loss 0.2640, disc_weight 0.4000, disc_adaptive_weight 7.5219, d_loss 1.0505, logits_real -0.2568, logits_fake -0.2628,
