dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_15
saver_name_pre: wasserstein_vq_refinement_False_15_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss 6.8370, rec_loss 0.0282, lpips_loss 0.2419, g_loss 0.3869, disc_weight 0.4000, disc_adaptive_weight 15.7435, d_loss 2.5703, logits_real -0.2908, logits_fake -0.3929,
Train Epoch: [1/15] Iters:[20/20018] gen_loss 12.9830, rec_loss 0.0414, lpips_loss 0.3487, g_loss 0.4551, disc_weight 0.4000, disc_adaptive_weight 25.7457, d_loss 2.3208, logits_real -0.2861, logits_fake -0.4567,
Train Epoch: [1/15] Iters:[30/20018] gen_loss 12.7809, rec_loss 0.0428, lpips_loss 0.3723, g_loss 0.4732, disc_weight 0.4000, disc_adaptive_weight 24.9843, d_loss 2.1113, logits_real -0.2841, logits_fake -0.4711,
Train Epoch: [1/15] Iters:[40/20018] gen_loss 11.1902, rec_loss 0.0472, lpips_loss 0.3821, g_loss 0.4559, disc_weight 0.4000, disc_adaptive_weight 22.3873, d_loss 1.9837, logits_real -0.2820, logits_fake -0.4533,
Train Epoch: [1/15] Iters:[50/20018] gen_loss 9.9704, rec_loss 0.0544, lpips_loss 0.3981, g_loss 0.4443, disc_weight 0.4000, disc_adaptive_weight 20.1961, d_loss 1.8769, logits_real -0.2797, logits_fake -0.4419,
Train Epoch: [1/15] Iters:[60/20018] gen_loss 9.4624, rec_loss 0.0660, lpips_loss 0.4553, g_loss 0.4459, disc_weight 0.4000, disc_adaptive_weight 18.9002, d_loss 1.6196, logits_real -0.2750, logits_fake -0.4408,
Train Epoch: [1/15] Iters:[70/20018] gen_loss 6.3501, rec_loss 0.0663, lpips_loss 0.4510, g_loss 0.4025, disc_weight 0.4000, disc_adaptive_weight 13.8015, d_loss 1.4375, logits_real -0.2717, logits_fake -0.3971,
Train Epoch: [1/15] Iters:[80/20018] gen_loss 4.3757, rec_loss 0.0672, lpips_loss 0.4307, g_loss 0.3531, disc_weight 0.4000, disc_adaptive_weight 10.7386, d_loss 1.3273, logits_real -0.2675, logits_fake -0.3492,
Train Epoch: [1/15] Iters:[90/20018] gen_loss 3.4813, rec_loss 0.0633, lpips_loss 0.3989, g_loss 0.3237, disc_weight 0.4000, disc_adaptive_weight 9.1018, d_loss 1.2164, logits_real -0.2638, logits_fake -0.3207,
Train Epoch: [1/15] Iters:[100/20018] gen_loss 2.8669, rec_loss 0.0535, lpips_loss 0.3527, g_loss 0.2954, disc_weight 0.4000, disc_adaptive_weight 8.1754, d_loss 1.1194, logits_real -0.2605, logits_fake -0.2926,
Train Epoch: [1/15] Iters:[110/20018] gen_loss 2.3856, rec_loss 0.0439, lpips_loss 0.2944, g_loss 0.2679, disc_weight 0.4000, disc_adaptive_weight 7.5770, d_loss 1.0475, logits_real -0.2568, logits_fake -0.2665,
Train Epoch: [1/15] Iters:[120/20018] gen_loss 1.9212, rec_loss 0.0399, lpips_loss 0.2494, g_loss 0.2546, disc_weight 0.4000, disc_adaptive_weight 6.3576, d_loss 0.9914, logits_real -0.2531, logits_fake -0.2538,
Train Epoch: [1/15] Iters:[130/20018] gen_loss 1.9360, rec_loss 0.0377, lpips_loss 0.2334, g_loss 0.2525, disc_weight 0.4000, disc_adaptive_weight 6.5482, d_loss 0.9299, logits_real -0.2499, logits_fake -0.2517,
Train Epoch: [1/15] Iters:[140/20018] gen_loss 1.9380, rec_loss 0.0384, lpips_loss 0.2393, g_loss 0.2497, disc_weight 0.4000, disc_adaptive_weight 6.5938, d_loss 0.8836, logits_real -0.2466, logits_fake -0.2495,
Train Epoch: [1/15] Iters:[150/20018] gen_loss 1.8023, rec_loss 0.0430, lpips_loss 0.2443, g_loss 0.2430, disc_weight 0.4000, disc_adaptive_weight 6.1521, d_loss 0.8519, logits_real -0.2427, logits_fake -0.2433,
Train Epoch: [1/15] Iters:[160/20018] gen_loss 1.6425, rec_loss 0.0446, lpips_loss 0.2425, g_loss 0.2364, disc_weight 0.4000, disc_adaptive_weight 5.6268, d_loss 0.8198, logits_real -0.2395, logits_fake -0.2371,
Train Epoch: [1/15] Iters:[170/20018] gen_loss 1.7514, rec_loss 0.0456, lpips_loss 0.2460, g_loss 0.2335, disc_weight 0.4000, disc_adaptive_weight 6.1406, d_loss 0.7918, logits_real -0.2356, logits_fake -0.2346,
Train Epoch: [1/15] Iters:[180/20018] gen_loss 1.4973, rec_loss 0.0471, lpips_loss 0.2419, g_loss 0.2263, disc_weight 0.4000, disc_adaptive_weight 5.2844, d_loss 0.7718, logits_real -0.2314, logits_fake -0.2275,
Train Epoch: [1/15] Iters:[190/20018] gen_loss 1.4400, rec_loss 0.0474, lpips_loss 0.2298, g_loss 0.2218, disc_weight 0.4000, disc_adaptive_weight 5.2245, d_loss 0.7514, logits_real -0.2272, logits_fake -0.2222,
Train Epoch: [1/15] Iters:[200/20018] gen_loss 1.5301, rec_loss 0.0481, lpips_loss 0.2303, g_loss 0.2218, disc_weight 0.4000, disc_adaptive_weight 5.6235, d_loss 0.7326, logits_real -0.2233, logits_fake -0.2210,
Train Epoch: [1/15] Iters:[210/20018] gen_loss 1.5373, rec_loss 0.0490, lpips_loss 0.2302, g_loss 0.2185, disc_weight 0.4000, disc_adaptive_weight 5.7098, d_loss 0.7190, logits_real -0.2190, logits_fake -0.2178,
Train Epoch: [1/15] Iters:[220/20018] gen_loss 1.4037, rec_loss 0.0505, lpips_loss 0.2285, g_loss 0.2146, disc_weight 0.4000, disc_adaptive_weight 5.1910, d_loss 0.7056, logits_real -0.2147, logits_fake -0.2143,
Train Epoch: [1/15] Iters:[230/20018] gen_loss 1.4917, rec_loss 0.0546, lpips_loss 0.2334, g_loss 0.2121, disc_weight 0.4000, disc_adaptive_weight 5.6395, d_loss 0.6905, logits_real -0.2103, logits_fake -0.2123,
Train Epoch: [1/15] Iters:[240/20018] gen_loss 1.4348, rec_loss 0.0551, lpips_loss 0.2351, g_loss 0.2088, disc_weight 0.4000, disc_adaptive_weight 5.4561, d_loss 0.6764, logits_real -0.2060, logits_fake -0.2090,
Train Epoch: [1/15] Iters:[250/20018] gen_loss 1.3535, rec_loss 0.0503, lpips_loss 0.2260, g_loss 0.2044, disc_weight 0.4000, disc_adaptive_weight 5.2685, d_loss 0.6567, logits_real -0.2018, logits_fake -0.2053,
Train Epoch: [1/15] Iters:[260/20018] gen_loss 1.3988, rec_loss 0.0464, lpips_loss 0.2221, g_loss 0.2025, disc_weight 0.4000, disc_adaptive_weight 5.5803, d_loss 0.6388, logits_real -0.1983, logits_fake -0.2030,
