dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_10
saver_name_pre: wasserstein_vq_refinement_False_10_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss -2.1672, rec_loss 0.0237, lpips_loss 0.1959, g_loss -0.2630, disc_weight 0.4000, disc_adaptive_weight 9.5886, d_loss 2.3283, logits_real 0.3270, logits_fake 0.2573,
Train Epoch: [1/10] Iters:[20/20018] gen_loss -2.0823, rec_loss 0.0243, lpips_loss 0.1939, g_loss -0.2851, disc_weight 0.4000, disc_adaptive_weight 8.4680, d_loss 2.1008, logits_real 0.3243, logits_fake 0.2817,
Train Epoch: [1/10] Iters:[30/20018] gen_loss -2.1185, rec_loss 0.0241, lpips_loss 0.1924, g_loss -0.3043, disc_weight 0.4000, disc_adaptive_weight 7.9752, d_loss 1.9368, logits_real 0.3239, logits_fake 0.3033,
Train Epoch: [1/10] Iters:[40/20018] gen_loss -2.0310, rec_loss 0.0244, lpips_loss 0.1913, g_loss -0.3133, disc_weight 0.4000, disc_adaptive_weight 7.4363, d_loss 1.8038, logits_real 0.3223, logits_fake 0.3123,
Train Epoch: [1/10] Iters:[50/20018] gen_loss -1.8395, rec_loss 0.0245, lpips_loss 0.1909, g_loss -0.3187, disc_weight 0.4000, disc_adaptive_weight 6.7057, d_loss 1.6936, logits_real 0.3211, logits_fake 0.3168,
Train Epoch: [1/10] Iters:[60/20018] gen_loss -1.6330, rec_loss 0.0245, lpips_loss 0.1877, g_loss -0.3284, disc_weight 0.4000, disc_adaptive_weight 5.6482, d_loss 1.4532, logits_real 0.3176, logits_fake 0.3280,
Train Epoch: [1/10] Iters:[70/20018] gen_loss -1.4462, rec_loss 0.0240, lpips_loss 0.1852, g_loss -0.3310, disc_weight 0.4000, disc_adaptive_weight 4.9694, d_loss 1.2853, logits_real 0.3153, logits_fake 0.3307,
Train Epoch: [1/10] Iters:[80/20018] gen_loss -1.1961, rec_loss 0.0243, lpips_loss 0.1843, g_loss -0.3237, disc_weight 0.4000, disc_adaptive_weight 4.3214, d_loss 1.1587, logits_real 0.3109, logits_fake 0.3231,
Train Epoch: [1/10] Iters:[90/20018] gen_loss -0.9934, rec_loss 0.0242, lpips_loss 0.1828, g_loss -0.3165, disc_weight 0.4000, disc_adaptive_weight 3.7882, d_loss 1.0614, logits_real 0.3077, logits_fake 0.3163,
Train Epoch: [1/10] Iters:[100/20018] gen_loss -0.9092, rec_loss 0.0239, lpips_loss 0.1811, g_loss -0.3084, disc_weight 0.4000, disc_adaptive_weight 3.6038, d_loss 0.9830, logits_real 0.3038, logits_fake 0.3092,
Train Epoch: [1/10] Iters:[110/20018] gen_loss -0.8435, rec_loss 0.0242, lpips_loss 0.1819, g_loss -0.3058, disc_weight 0.4000, disc_adaptive_weight 3.4233, d_loss 0.9242, logits_real 0.3007, logits_fake 0.3064,
Train Epoch: [1/10] Iters:[120/20018] gen_loss -0.7908, rec_loss 0.0245, lpips_loss 0.1817, g_loss -0.3007, disc_weight 0.4000, disc_adaptive_weight 3.3149, d_loss 0.8756, logits_real 0.2971, logits_fake 0.3014,
Train Epoch: [1/10] Iters:[130/20018] gen_loss -0.7392, rec_loss 0.0245, lpips_loss 0.1818, g_loss -0.2976, disc_weight 0.4000, disc_adaptive_weight 3.1798, d_loss 0.8318, logits_real 0.2944, logits_fake 0.2977,
Train Epoch: [1/10] Iters:[140/20018] gen_loss -0.7124, rec_loss 0.0241, lpips_loss 0.1812, g_loss -0.2937, disc_weight 0.4000, disc_adaptive_weight 3.1248, d_loss 0.7940, logits_real 0.2909, logits_fake 0.2939,
