dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 50
refinement_epochs: 10
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: FFHQ
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_FFHQ_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Downloading vgg_lpips model from https://heibox.uni-heidelberg.de/f/607503859c864bc1b30b/?dl=1 to /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/50] Iters:[10/1093] transplant_loss 13.5241, rec_loss 0.6079, p_loss 0.8264, quant_error 1.1311, utilization 0.0481, perplexity 225.6015,
Train Epoch: [1/50] Iters:[20/1093] transplant_loss 12.6312, rec_loss 0.4066, p_loss 0.7709, quant_error 0.8547, utilization 0.0452, perplexity 154.8104,
Train Epoch: [1/50] Iters:[30/1093] transplant_loss 10.6792, rec_loss 0.3141, p_loss 0.7364, quant_error 0.7155, utilization 0.0559, perplexity 199.4258,
Train Epoch: [1/50] Iters:[40/1093] transplant_loss 9.2146, rec_loss 0.2558, p_loss 0.6829, quant_error 0.6238, utilization 0.0788, perplexity 341.0771,
Train Epoch: [1/50] Iters:[50/1093] transplant_loss 8.1167, rec_loss 0.2160, p_loss 0.6254, quant_error 0.5598, utilization 0.1204, perplexity 729.7906,
Train Epoch: [1/50] Iters:[60/1093] transplant_loss 6.0591, rec_loss 0.1017, p_loss 0.5202, quant_error 0.3862, utilization 0.1875, perplexity 1456.0551,
Train Epoch: [1/50] Iters:[70/1093] transplant_loss 4.3190, rec_loss 0.0660, p_loss 0.4258, quant_error 0.3196, utilization 0.2653, perplexity 2415.6500,
Train Epoch: [1/50] Iters:[80/1093] transplant_loss 3.5754, rec_loss 0.0446, p_loss 0.3352, quant_error 0.2803, utilization 0.3426, perplexity 3466.0265,
Train Epoch: [1/50] Iters:[90/1093] transplant_loss 3.2854, rec_loss 0.0329, p_loss 0.2712, quant_error 0.2607, utilization 0.4100, perplexity 4501.8329,
Train Epoch: [1/50] Iters:[100/1093] transplant_loss 3.2649, rec_loss 0.0257, p_loss 0.2321, quant_error 0.2507, utilization 0.4533, perplexity 5322.9086,
Train Epoch: [1/50] Iters:[110/1093] transplant_loss 3.3674, rec_loss 0.0226, p_loss 0.2124, quant_error 0.2523, utilization 0.4788, perplexity 5868.8488,
Train Epoch: [1/50] Iters:[120/1093] transplant_loss 3.4907, rec_loss 0.0214, p_loss 0.2045, quant_error 0.2606, utilization 0.4941, perplexity 6201.6986,
Train Epoch: [1/50] Iters:[130/1093] transplant_loss 3.5813, rec_loss 0.0211, p_loss 0.2031, quant_error 0.2733, utilization 0.4989, perplexity 6326.5261,
Train Epoch: [1/50] Iters:[140/1093] transplant_loss 3.5703, rec_loss 0.0209, p_loss 0.2034, quant_error 0.2834, utilization 0.4898, perplexity 6191.6252,
Train Epoch: [1/50] Iters:[150/1093] transplant_loss 3.4832, rec_loss 0.0208, p_loss 0.2034, quant_error 0.2879, utilization 0.4724, perplexity 5883.4627,
Train Epoch: [1/50] Iters:[160/1093] transplant_loss 3.3490, rec_loss 0.0208, p_loss 0.2016, quant_error 0.2850, utilization 0.4557, perplexity 5574.2051,
Train Epoch: [1/50] Iters:[170/1093] transplant_loss 3.2054, rec_loss 0.0203, p_loss 0.1976, quant_error 0.2751, utilization 0.4452, perplexity 5381.2967,
Train Epoch: [1/50] Iters:[180/1093] transplant_loss 3.0783, rec_loss 0.0199, p_loss 0.1930, quant_error 0.2599, utilization 0.4445, perplexity 5367.7585,
Train Epoch: [1/50] Iters:[190/1093] transplant_loss 2.9853, rec_loss 0.0197, p_loss 0.1896, quant_error 0.2453, utilization 0.4588, perplexity 5643.2331,
Train Epoch: [1/50] Iters:[200/1093] transplant_loss 2.9038, rec_loss 0.0196, p_loss 0.1858, quant_error 0.2349, utilization 0.4808, perplexity 6060.4950,
Train Epoch: [1/50] Iters:[210/1093] transplant_loss 2.8258, rec_loss 0.0193, p_loss 0.1829, quant_error 0.2282, utilization 0.5021, perplexity 6467.3933,
Train Epoch: [1/50] Iters:[220/1093] transplant_loss 2.7524, rec_loss 0.0195, p_loss 0.1820, quant_error 0.2247, utilization 0.5186, perplexity 6770.8933,
Train Epoch: [1/50] Iters:[230/1093] transplant_loss 2.6667, rec_loss 0.0193, p_loss 0.1811, quant_error 0.2227, utilization 0.5305, perplexity 6981.2463,
Train Epoch: [1/50] Iters:[240/1093] transplant_loss 2.5797, rec_loss 0.0193, p_loss 0.1813, quant_error 0.2223, utilization 0.5369, perplexity 7065.4630,
Train Epoch: [1/50] Iters:[250/1093] transplant_loss 2.4826, rec_loss 0.0190, p_loss 0.1816, quant_error 0.2218, utilization 0.5393, perplexity 7058.5848,
Train Epoch: [1/50] Iters:[260/1093] transplant_loss 2.3782, rec_loss 0.0189, p_loss 0.1822, quant_error 0.2212, utilization 0.5389, perplexity 6976.2775,
Train Epoch: [1/50] Iters:[270/1093] transplant_loss 2.2845, rec_loss 0.0188, p_loss 0.1830, quant_error 0.2216, utilization 0.5365, perplexity 6864.8524,
Train Epoch: [1/50] Iters:[280/1093] transplant_loss 2.2022, rec_loss 0.0189, p_loss 0.1837, quant_error 0.2219, utilization 0.5322, perplexity 6719.8014,
Train Epoch: [1/50] Iters:[290/1093] transplant_loss 2.1258, rec_loss 0.0187, p_loss 0.1836, quant_error 0.2219, utilization 0.5274, perplexity 6575.2616,
Train Epoch: [1/50] Iters:[300/1093] transplant_loss 2.0664, rec_loss 0.0190, p_loss 0.1839, quant_error 0.2223, utilization 0.5228, perplexity 6450.3819,
Train Epoch: [1/50] Iters:[310/1093] transplant_loss 2.0193, rec_loss 0.0191, p_loss 0.1833, quant_error 0.2219, utilization 0.5187, perplexity 6369.5356,
