dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_65536_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 11.4813, rec_loss 0.5385, p_loss 0.8328, quant_error 1.2912, utilization 0.0174, perplexity 466.5546,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 10.5264, rec_loss 0.3774, p_loss 0.7809, quant_error 1.0036, utilization 0.0140, perplexity 279.6758,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 9.4382, rec_loss 0.3054, p_loss 0.7412, quant_error 0.8758, utilization 0.0164, perplexity 259.9878,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 8.4805, rec_loss 0.2586, p_loss 0.7122, quant_error 0.7924, utilization 0.0208, perplexity 324.3770,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 7.7647, rec_loss 0.2255, p_loss 0.6811, quant_error 0.7321, utilization 0.0253, perplexity 429.1205,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 6.3322, rec_loss 0.1322, p_loss 0.6067, quant_error 0.5591, utilization 0.0315, perplexity 543.4700,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 5.2020, rec_loss 0.0995, p_loss 0.5347, quant_error 0.4922, utilization 0.0427, perplexity 855.8403,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 4.5514, rec_loss 0.0766, p_loss 0.4650, quant_error 0.4425, utilization 0.0573, perplexity 1384.0808,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 4.3141, rec_loss 0.0614, p_loss 0.3972, quant_error 0.4065, utilization 0.0734, perplexity 2091.0970,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 4.2796, rec_loss 0.0505, p_loss 0.3394, quant_error 0.3778, utilization 0.0911, perplexity 2975.4961,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 4.4372, rec_loss 0.0439, p_loss 0.2992, quant_error 0.3652, utilization 0.1107, perplexity 4059.7119,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 4.6728, rec_loss 0.0406, p_loss 0.2756, quant_error 0.3568, utilization 0.1291, perplexity 5247.4995,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 4.9100, rec_loss 0.0389, p_loss 0.2647, quant_error 0.3520, utilization 0.1435, perplexity 6351.5738,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 5.0171, rec_loss 0.0371, p_loss 0.2575, quant_error 0.3441, utilization 0.1554, perplexity 7391.8770,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 5.0703, rec_loss 0.0369, p_loss 0.2550, quant_error 0.3435, utilization 0.1642, perplexity 8244.4525,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 5.0079, rec_loss 0.0358, p_loss 0.2519, quant_error 0.3360, utilization 0.1696, perplexity 8841.7304,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 4.9116, rec_loss 0.0354, p_loss 0.2503, quant_error 0.3305, utilization 0.1721, perplexity 9160.5809,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 4.7632, rec_loss 0.0346, p_loss 0.2446, quant_error 0.3210, utilization 0.1735, perplexity 9378.6484,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 4.6271, rec_loss 0.0343, p_loss 0.2395, quant_error 0.3143, utilization 0.1744, perplexity 9505.3405,
Train Epoch: [1/5] Iters:[200/20018] transplant_loss 4.4708, rec_loss 0.0337, p_loss 0.2335, quant_error 0.3039, utilization 0.1763, perplexity 9688.9295,
Train Epoch: [1/5] Iters:[210/20018] transplant_loss 4.3179, rec_loss 0.0332, p_loss 0.2282, quant_error 0.2938, utilization 0.1791, perplexity 9912.8601,
Train Epoch: [1/5] Iters:[220/20018] transplant_loss 4.2010, rec_loss 0.0329, p_loss 0.2243, quant_error 0.2885, utilization 0.1834, perplexity 10289.1890,
Train Epoch: [1/5] Iters:[230/20018] transplant_loss 4.0981, rec_loss 0.0325, p_loss 0.2223, quant_error 0.2850, utilization 0.1876, perplexity 10639.6053,
Train Epoch: [1/5] Iters:[240/20018] transplant_loss 4.0208, rec_loss 0.0330, p_loss 0.2215, quant_error 0.2832, utilization 0.1913, perplexity 10938.7451,
Train Epoch: [1/5] Iters:[250/20018] transplant_loss 3.9104, rec_loss 0.0323, p_loss 0.2200, quant_error 0.2788, utilization 0.1937, perplexity 11110.4977,
Train Epoch: [1/5] Iters:[260/20018] transplant_loss 3.7964, rec_loss 0.0321, p_loss 0.2213, quant_error 0.2756, utilization 0.1957, perplexity 11284.0885,
Train Epoch: [1/5] Iters:[270/20018] transplant_loss 3.6791, rec_loss 0.0320, p_loss 0.2205, quant_error 0.2729, utilization 0.1968, perplexity 11336.9494,
