dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: ema_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_16384_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_quantizer_30
saver_name_pre: ema_quantizer_30_FFHQ_model_16384_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.2927, vq_loss 0.0191, rec_loss 0.2736, quant_error 0.1525, codebook_utilization 0.0110, codebook_perplexity 53.6886,
Train Epoch: [1/30] Iters:[20/2187] loss 0.2282, vq_loss 0.0117, rec_loss 0.2165, quant_error 0.0934, codebook_utilization 0.0298, codebook_perplexity 186.5379,
Train Epoch: [1/30] Iters:[30/2187] loss 0.1925, vq_loss 0.0085, rec_loss 0.1840, quant_error 0.0680, codebook_utilization 0.0471, codebook_perplexity 360.4381,
Train Epoch: [1/30] Iters:[40/2187] loss 0.1696, vq_loss 0.0068, rec_loss 0.1628, quant_error 0.0542, codebook_utilization 0.0560, codebook_perplexity 454.7703,
Train Epoch: [1/30] Iters:[50/2187] loss 0.1513, vq_loss 0.0057, rec_loss 0.1456, quant_error 0.0453, codebook_utilization 0.0622, codebook_perplexity 537.4641,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1073, vq_loss 0.0020, rec_loss 0.1053, quant_error 0.0164, codebook_utilization 0.0780, codebook_perplexity 714.2886,
Train Epoch: [1/30] Iters:[70/2187] loss 0.0879, vq_loss 0.0014, rec_loss 0.0866, quant_error 0.0109, codebook_utilization 0.0869, codebook_perplexity 845.4894,
Train Epoch: [1/30] Iters:[80/2187] loss 0.0769, vq_loss 0.0011, rec_loss 0.0758, quant_error 0.0090, codebook_utilization 0.0899, codebook_perplexity 900.5429,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0687, vq_loss 0.0010, rec_loss 0.0677, quant_error 0.0079, codebook_utilization 0.0927, codebook_perplexity 943.4916,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0646, vq_loss 0.0009, rec_loss 0.0637, quant_error 0.0073, codebook_utilization 0.0949, codebook_perplexity 973.5096,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0611, vq_loss 0.0009, rec_loss 0.0602, quant_error 0.0069, codebook_utilization 0.0966, codebook_perplexity 994.3883,
Train Epoch: [1/30] Iters:[120/2187] loss 0.0584, vq_loss 0.0008, rec_loss 0.0575, quant_error 0.0067, codebook_utilization 0.0978, codebook_perplexity 1001.7681,
Train Epoch: [1/30] Iters:[130/2187] loss 0.0551, vq_loss 0.0008, rec_loss 0.0542, quant_error 0.0065, codebook_utilization 0.0984, codebook_perplexity 999.9009,
Train Epoch: [1/30] Iters:[140/2187] loss 0.0527, vq_loss 0.0008, rec_loss 0.0519, quant_error 0.0061, codebook_utilization 0.0988, codebook_perplexity 1005.1404,
Train Epoch: [1/30] Iters:[150/2187] loss 0.0502, vq_loss 0.0007, rec_loss 0.0495, quant_error 0.0057, codebook_utilization 0.0991, codebook_perplexity 1011.2028,
Train Epoch: [1/30] Iters:[160/2187] loss 0.0481, vq_loss 0.0007, rec_loss 0.0474, quant_error 0.0054, codebook_utilization 0.0999, codebook_perplexity 1034.0330,
Train Epoch: [1/30] Iters:[170/2187] loss 0.0459, vq_loss 0.0006, rec_loss 0.0452, quant_error 0.0050, codebook_utilization 0.1009, codebook_perplexity 1061.0783,
Train Epoch: [1/30] Iters:[180/2187] loss 0.0443, vq_loss 0.0006, rec_loss 0.0438, quant_error 0.0045, codebook_utilization 0.1016, codebook_perplexity 1089.8022,
Train Epoch: [1/30] Iters:[190/2187] loss 0.0431, vq_loss 0.0005, rec_loss 0.0425, quant_error 0.0042, codebook_utilization 0.1029, codebook_perplexity 1130.0078,
Train Epoch: [1/30] Iters:[200/2187] loss 0.0418, vq_loss 0.0005, rec_loss 0.0413, quant_error 0.0040, codebook_utilization 0.1041, codebook_perplexity 1160.0235,
