dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 8192
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_8192_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_30
saver_name_pre: online_quantizer_30_FFHQ_model_8192_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3796, vq_loss 0.0756, rec_loss 0.3040, quant_error 0.3023, codebook_utilization 0.0203, codebook_perplexity 50.6244,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3170, vq_loss 0.0549, rec_loss 0.2621, quant_error 0.2197, codebook_utilization 0.0169, codebook_perplexity 39.3230,
Train Epoch: [1/30] Iters:[30/2187] loss 0.2690, vq_loss 0.0444, rec_loss 0.2246, quant_error 0.1774, codebook_utilization 0.0138, codebook_perplexity 30.2402,
Train Epoch: [1/30] Iters:[40/2187] loss 0.2397, vq_loss 0.0379, rec_loss 0.2018, quant_error 0.1515, codebook_utilization 0.0119, codebook_perplexity 25.4512,
Train Epoch: [1/30] Iters:[50/2187] loss 0.2153, vq_loss 0.0337, rec_loss 0.1816, quant_error 0.1349, codebook_utilization 0.0106, codebook_perplexity 22.4280,
Train Epoch: [1/30] Iters:[60/2187] loss 0.1603, vq_loss 0.0218, rec_loss 0.1385, quant_error 0.0873, codebook_utilization 0.0076, codebook_perplexity 14.4816,
Train Epoch: [1/30] Iters:[70/2187] loss 0.1278, vq_loss 0.0180, rec_loss 0.1098, quant_error 0.0720, codebook_utilization 0.0057, codebook_perplexity 10.9539,
Train Epoch: [1/30] Iters:[80/2187] loss 0.1106, vq_loss 0.0163, rec_loss 0.0943, quant_error 0.0652, codebook_utilization 0.0050, codebook_perplexity 10.6439,
Train Epoch: [1/30] Iters:[90/2187] loss 0.0968, vq_loss 0.0156, rec_loss 0.0811, quant_error 0.0625, codebook_utilization 0.0046, codebook_perplexity 10.7683,
Train Epoch: [1/30] Iters:[100/2187] loss 0.0893, vq_loss 0.0152, rec_loss 0.0741, quant_error 0.0608, codebook_utilization 0.0044, codebook_perplexity 11.0401,
Train Epoch: [1/30] Iters:[110/2187] loss 0.0834, vq_loss 0.0148, rec_loss 0.0686, quant_error 0.0591, codebook_utilization 0.0040, codebook_perplexity 11.1867,
Train Epoch: [1/30] Iters:[120/2187] loss 0.0793, vq_loss 0.0145, rec_loss 0.0648, quant_error 0.0581, codebook_utilization 0.0038, codebook_perplexity 11.4316,
Train Epoch: [1/30] Iters:[130/2187] loss 0.0759, vq_loss 0.0143, rec_loss 0.0616, quant_error 0.0572, codebook_utilization 0.0037, codebook_perplexity 11.6655,
Train Epoch: [1/30] Iters:[140/2187] loss 0.0735, vq_loss 0.0140, rec_loss 0.0596, quant_error 0.0558, codebook_utilization 0.0035, codebook_perplexity 11.7938,
