dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 50000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: vanilla_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_50000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_quantizer_30
saver_name_pre: vanilla_quantizer_30_FFHQ_model_50000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 0.3788, vq_loss 0.0660, rec_loss 0.3128, quant_error 0.2641, codebook_utilization 0.0066, codebook_perplexity 121.6205,
Train Epoch: [1/30] Iters:[20/2187] loss 0.3309, vq_loss 0.0414, rec_loss 0.2895, quant_error 0.1656, codebook_utilization 0.0050, codebook_perplexity 94.0201,
Train Epoch: [1/30] Iters:[30/2187] loss 0.3181, vq_loss 0.0332, rec_loss 0.2849, quant_error 0.1327, codebook_utilization 0.0042, codebook_perplexity 72.8190,
Train Epoch: [1/30] Iters:[40/2187] loss 0.3112, vq_loss 0.0303, rec_loss 0.2809, quant_error 0.1210, codebook_utilization 0.0035, codebook_perplexity 58.6929,
Train Epoch: [1/30] Iters:[50/2187] loss 0.3134, vq_loss 0.0360, rec_loss 0.2774, quant_error 0.1440, codebook_utilization 0.0031, codebook_perplexity 48.9021,
Train Epoch: [1/30] Iters:[60/2187] loss 0.4195, vq_loss 0.1518, rec_loss 0.2677, quant_error 0.6073, codebook_utilization 0.0019, codebook_perplexity 25.4686,
Train Epoch: [1/30] Iters:[70/2187] loss 1.3060, vq_loss 1.0408, rec_loss 0.2652, quant_error 4.1634, codebook_utilization 0.0013, codebook_perplexity 12.7303,
Train Epoch: [1/30] Iters:[80/2187] loss 2.5033, vq_loss 2.2437, rec_loss 0.2596, quant_error 8.9747, codebook_utilization 0.0009, codebook_perplexity 7.1882,
Train Epoch: [1/30] Iters:[90/2187] loss 3.8118, vq_loss 3.5588, rec_loss 0.2530, quant_error 14.2353, codebook_utilization 0.0007, codebook_perplexity 4.5101,
Train Epoch: [1/30] Iters:[100/2187] loss 5.3996, vq_loss 5.1561, rec_loss 0.2435, quant_error 20.6243, codebook_utilization 0.0005, codebook_perplexity 3.1535,
Train Epoch: [1/30] Iters:[110/2187] loss 6.8646, vq_loss 6.6355, rec_loss 0.2291, quant_error 26.5421, codebook_utilization 0.0004, codebook_perplexity 2.8988,
