dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 8192
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_8192_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_8192_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.6919, vq_loss 1.1409, rec_loss 0.2755, wasserstein_loss 1.6536, quant_error 2.2845, codebook_utilization 0.0497, codebook_perplexity 85.8826,
Train Epoch: [1/30] Iters:[20/2187] loss 1.7002, vq_loss 1.2565, rec_loss 0.2219, wasserstein_loss 1.5445, quant_error 3.5215, codebook_utilization 0.0652, codebook_perplexity 130.9148,
Train Epoch: [1/30] Iters:[30/2187] loss 1.5599, vq_loss 1.1804, rec_loss 0.1898, wasserstein_loss 1.5679, quant_error 2.8832, codebook_utilization 0.0829, codebook_perplexity 177.2282,
Train Epoch: [1/30] Iters:[40/2187] loss 1.3777, vq_loss 1.0365, rec_loss 0.1706, wasserstein_loss 1.4347, quant_error 2.3209, codebook_utilization 0.0955, codebook_perplexity 219.7348,
Train Epoch: [1/30] Iters:[50/2187] loss 1.2262, vq_loss 0.9173, rec_loss 0.1544, wasserstein_loss 1.3032, quant_error 1.9324, codebook_utilization 0.1103, codebook_perplexity 273.3126,
Train Epoch: [1/30] Iters:[60/2187] loss 0.9645, vq_loss 0.7343, rec_loss 0.1151, wasserstein_loss 1.0525, quant_error 1.5130, codebook_utilization 0.1503, codebook_perplexity 414.2014,
Train Epoch: [1/30] Iters:[70/2187] loss 0.6865, vq_loss 0.4952, rec_loss 0.0957, wasserstein_loss 0.8260, quant_error 0.5976, codebook_utilization 0.1971, codebook_perplexity 658.7351,
Train Epoch: [1/30] Iters:[80/2187] loss 0.4921, vq_loss 0.3242, rec_loss 0.0840, wasserstein_loss 0.5635, quant_error 0.3089, codebook_utilization 0.2381, codebook_perplexity 918.7950,
Train Epoch: [1/30] Iters:[90/2187] loss 0.3775, vq_loss 0.2298, rec_loss 0.0739, wasserstein_loss 0.4020, quant_error 0.2090, codebook_utilization 0.2802, codebook_perplexity 1215.1817,
Train Epoch: [1/30] Iters:[100/2187] loss 0.3075, vq_loss 0.1733, rec_loss 0.0671, wasserstein_loss 0.3030, quant_error 0.1587, codebook_utilization 0.3170, codebook_perplexity 1507.4387,
Train Epoch: [1/30] Iters:[110/2187] loss 0.2693, vq_loss 0.1460, rec_loss 0.0616, wasserstein_loss 0.2524, quant_error 0.1439, codebook_utilization 0.3424, codebook_perplexity 1786.3237,
