dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: ema_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_100000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_quantizer_4
saver_name_pre: ema_quantizer_4_ImageNet_model_100000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.4893, vq_loss 0.0088, rec_loss 0.4805, quant_error 0.0705, codebook_utilization 0.0319, codebook_perplexity 1869.4780,
Train Epoch: [1/4] Iters:[20/40036] loss 0.4799, vq_loss 0.0064, rec_loss 0.4736, quant_error 0.0510, codebook_utilization 0.0490, codebook_perplexity 3915.8355,
Train Epoch: [1/4] Iters:[30/40036] loss 0.4698, vq_loss 0.0055, rec_loss 0.4643, quant_error 0.0441, codebook_utilization 0.0550, codebook_perplexity 4680.2559,
Train Epoch: [1/4] Iters:[40/40036] loss 0.4631, vq_loss 0.0051, rec_loss 0.4581, quant_error 0.0405, codebook_utilization 0.0578, codebook_perplexity 5043.8572,
Train Epoch: [1/4] Iters:[50/40036] loss 0.4526, vq_loss 0.0048, rec_loss 0.4478, quant_error 0.0383, codebook_utilization 0.0594, codebook_perplexity 5232.8644,
Train Epoch: [1/4] Iters:[60/40036] loss 0.4368, vq_loss 0.0037, rec_loss 0.4331, quant_error 0.0299, codebook_utilization 0.0659, codebook_perplexity 6044.9102,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4205, vq_loss 0.0037, rec_loss 0.4168, quant_error 0.0293, codebook_utilization 0.0654, codebook_perplexity 6002.7675,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4068, vq_loss 0.0036, rec_loss 0.4032, quant_error 0.0289, codebook_utilization 0.0646, codebook_perplexity 5891.0015,
Train Epoch: [1/4] Iters:[90/40036] loss 0.3942, vq_loss 0.0036, rec_loss 0.3906, quant_error 0.0286, codebook_utilization 0.0636, codebook_perplexity 5770.9139,
Train Epoch: [1/4] Iters:[100/40036] loss 0.3807, vq_loss 0.0035, rec_loss 0.3772, quant_error 0.0284, codebook_utilization 0.0628, codebook_perplexity 5660.0990,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3673, vq_loss 0.0036, rec_loss 0.3638, quant_error 0.0284, codebook_utilization 0.0618, codebook_perplexity 5543.4767,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3576, vq_loss 0.0036, rec_loss 0.3540, quant_error 0.0284, codebook_utilization 0.0612, codebook_perplexity 5461.2382,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3455, vq_loss 0.0035, rec_loss 0.3420, quant_error 0.0283, codebook_utilization 0.0605, codebook_perplexity 5373.9656,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3299, vq_loss 0.0035, rec_loss 0.3264, quant_error 0.0281, codebook_utilization 0.0600, codebook_perplexity 5287.1644,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3177, vq_loss 0.0034, rec_loss 0.3143, quant_error 0.0276, codebook_utilization 0.0595, codebook_perplexity 5214.9083,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3010, vq_loss 0.0034, rec_loss 0.2976, quant_error 0.0270, codebook_utilization 0.0589, codebook_perplexity 5121.5013,
Train Epoch: [1/4] Iters:[170/40036] loss 0.2821, vq_loss 0.0033, rec_loss 0.2788, quant_error 0.0265, codebook_utilization 0.0582, codebook_perplexity 5014.8461,
Train Epoch: [1/4] Iters:[180/40036] loss 0.2635, vq_loss 0.0033, rec_loss 0.2603, quant_error 0.0261, codebook_utilization 0.0573, codebook_perplexity 4910.0457,
Train Epoch: [1/4] Iters:[190/40036] loss 0.2489, vq_loss 0.0032, rec_loss 0.2457, quant_error 0.0257, codebook_utilization 0.0568, codebook_perplexity 4856.5674,
Train Epoch: [1/4] Iters:[200/40036] loss 0.2333, vq_loss 0.0031, rec_loss 0.2301, quant_error 0.0252, codebook_utilization 0.0563, codebook_perplexity 4789.0747,
Train Epoch: [1/4] Iters:[210/40036] loss 0.2200, vq_loss 0.0031, rec_loss 0.2169, quant_error 0.0246, codebook_utilization 0.0559, codebook_perplexity 4764.9959,
Train Epoch: [1/4] Iters:[220/40036] loss 0.2100, vq_loss 0.0030, rec_loss 0.2070, quant_error 0.0239, codebook_utilization 0.0558, codebook_perplexity 4764.2921,
Train Epoch: [1/4] Iters:[230/40036] loss 0.2033, vq_loss 0.0029, rec_loss 0.2004, quant_error 0.0232, codebook_utilization 0.0557, codebook_perplexity 4751.1601,
Train Epoch: [1/4] Iters:[240/40036] loss 0.1960, vq_loss 0.0028, rec_loss 0.1932, quant_error 0.0227, codebook_utilization 0.0553, codebook_perplexity 4689.2590,
Train Epoch: [1/4] Iters:[250/40036] loss 0.1915, vq_loss 0.0028, rec_loss 0.1887, quant_error 0.0222, codebook_utilization 0.0551, codebook_perplexity 4669.0063,
Train Epoch: [1/4] Iters:[260/40036] loss 0.1878, vq_loss 0.0027, rec_loss 0.1850, quant_error 0.0218, codebook_utilization 0.0547, codebook_perplexity 4609.9359,
Train Epoch: [1/4] Iters:[270/40036] loss 0.1825, vq_loss 0.0027, rec_loss 0.1798, quant_error 0.0213, codebook_utilization 0.0543, codebook_perplexity 4536.1740,
Train Epoch: [1/4] Iters:[280/40036] loss 0.1755, vq_loss 0.0026, rec_loss 0.1729, quant_error 0.0209, codebook_utilization 0.0539, codebook_perplexity 4460.8640,
Train Epoch: [1/4] Iters:[290/40036] loss 0.1683, vq_loss 0.0026, rec_loss 0.1657, quant_error 0.0206, codebook_utilization 0.0537, codebook_perplexity 4436.9434,
Train Epoch: [1/4] Iters:[300/40036] loss 0.1604, vq_loss 0.0025, rec_loss 0.1579, quant_error 0.0203, codebook_utilization 0.0533, codebook_perplexity 4360.5630,
Train Epoch: [1/4] Iters:[310/40036] loss 0.1529, vq_loss 0.0025, rec_loss 0.1504, quant_error 0.0200, codebook_utilization 0.0532, codebook_perplexity 4353.1075,
Train Epoch: [1/4] Iters:[320/40036] loss 0.1475, vq_loss 0.0025, rec_loss 0.1450, quant_error 0.0197, codebook_utilization 0.0531, codebook_perplexity 4357.4176,
Train Epoch: [1/4] Iters:[330/40036] loss 0.1408, vq_loss 0.0024, rec_loss 0.1384, quant_error 0.0193, codebook_utilization 0.0533, codebook_perplexity 4398.4823,
Train Epoch: [1/4] Iters:[340/40036] loss 0.1330, vq_loss 0.0024, rec_loss 0.1306, quant_error 0.0189, codebook_utilization 0.0533, codebook_perplexity 4412.5359,
Train Epoch: [1/4] Iters:[350/40036] loss 0.1297, vq_loss 0.0023, rec_loss 0.1274, quant_error 0.0185, codebook_utilization 0.0535, codebook_perplexity 4468.3945,
Train Epoch: [1/4] Iters:[360/40036] loss 0.1260, vq_loss 0.0023, rec_loss 0.1237, quant_error 0.0182, codebook_utilization 0.0536, codebook_perplexity 4484.3562,
Train Epoch: [1/4] Iters:[370/40036] loss 0.1205, vq_loss 0.0022, rec_loss 0.1183, quant_error 0.0179, codebook_utilization 0.0536, codebook_perplexity 4481.3824,
Train Epoch: [1/4] Iters:[380/40036] loss 0.1182, vq_loss 0.0022, rec_loss 0.1160, quant_error 0.0176, codebook_utilization 0.0537, codebook_perplexity 4502.0982,
Train Epoch: [1/4] Iters:[390/40036] loss 0.1172, vq_loss 0.0022, rec_loss 0.1151, quant_error 0.0173, codebook_utilization 0.0538, codebook_perplexity 4517.0749,
Train Epoch: [1/4] Iters:[400/40036] loss 0.1127, vq_loss 0.0021, rec_loss 0.1105, quant_error 0.0170, codebook_utilization 0.0537, codebook_perplexity 4514.7478,
Train Epoch: [1/4] Iters:[410/40036] loss 0.1089, vq_loss 0.0021, rec_loss 0.1068, quant_error 0.0167, codebook_utilization 0.0537, codebook_perplexity 4513.8076,
Train Epoch: [1/4] Iters:[420/40036] loss 0.1068, vq_loss 0.0021, rec_loss 0.1047, quant_error 0.0165, codebook_utilization 0.0539, codebook_perplexity 4545.0864,
Train Epoch: [1/4] Iters:[430/40036] loss 0.1039, vq_loss 0.0020, rec_loss 0.1019, quant_error 0.0163, codebook_utilization 0.0538, codebook_perplexity 4544.1347,
Train Epoch: [1/4] Iters:[440/40036] loss 0.1019, vq_loss 0.0020, rec_loss 0.0999, quant_error 0.0160, codebook_utilization 0.0539, codebook_perplexity 4546.0424,
Train Epoch: [1/4] Iters:[450/40036] loss 0.1003, vq_loss 0.0020, rec_loss 0.0983, quant_error 0.0159, codebook_utilization 0.0540, codebook_perplexity 4569.6932,
Train Epoch: [1/4] Iters:[460/40036] loss 0.0999, vq_loss 0.0020, rec_loss 0.0980, quant_error 0.0157, codebook_utilization 0.0542, codebook_perplexity 4586.1291,
Train Epoch: [1/4] Iters:[470/40036] loss 0.0990, vq_loss 0.0019, rec_loss 0.0971, quant_error 0.0154, codebook_utilization 0.0540, codebook_perplexity 4569.0206,
Train Epoch: [1/4] Iters:[480/40036] loss 0.0981, vq_loss 0.0019, rec_loss 0.0962, quant_error 0.0152, codebook_utilization 0.0541, codebook_perplexity 4583.5122,
Train Epoch: [1/4] Iters:[490/40036] loss 0.0960, vq_loss 0.0019, rec_loss 0.0942, quant_error 0.0150, codebook_utilization 0.0541, codebook_perplexity 4591.0554,
Train Epoch: [1/4] Iters:[500/40036] loss 0.0952, vq_loss 0.0018, rec_loss 0.0933, quant_error 0.0147, codebook_utilization 0.0540, codebook_perplexity 4587.1517,
Train Epoch: [1/4] Iters:[510/40036] loss 0.0932, vq_loss 0.0018, rec_loss 0.0914, quant_error 0.0146, codebook_utilization 0.0539, codebook_perplexity 4582.6619,
Train Epoch: [1/4] Iters:[520/40036] loss 0.0904, vq_loss 0.0018, rec_loss 0.0886, quant_error 0.0144, codebook_utilization 0.0539, codebook_perplexity 4584.2776,
Train Epoch: [1/4] Iters:[530/40036] loss 0.0888, vq_loss 0.0018, rec_loss 0.0870, quant_error 0.0143, codebook_utilization 0.0539, codebook_perplexity 4574.0023,
