dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: online_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_100000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: online_quantizer_4
saver_name_pre: online_quantizer_4_ImageNet_model_100000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.5422, vq_loss 0.0911, rec_loss 0.4511, quant_error 0.3643, codebook_utilization 0.0051, codebook_perplexity 93.7732,
Train Epoch: [1/4] Iters:[20/40036] loss 0.5527, vq_loss 0.0880, rec_loss 0.4646, quant_error 0.3522, codebook_utilization 0.0045, codebook_perplexity 90.6012,
Train Epoch: [1/4] Iters:[30/40036] loss 0.5501, vq_loss 0.0851, rec_loss 0.4651, quant_error 0.3403, codebook_utilization 0.0040, codebook_perplexity 87.8005,
Train Epoch: [1/4] Iters:[40/40036] loss 0.5409, vq_loss 0.0817, rec_loss 0.4592, quant_error 0.3268, codebook_utilization 0.0035, codebook_perplexity 86.4818,
Train Epoch: [1/4] Iters:[50/40036] loss 0.5320, vq_loss 0.0779, rec_loss 0.4541, quant_error 0.3118, codebook_utilization 0.0032, codebook_perplexity 86.0813,
Train Epoch: [1/4] Iters:[60/40036] loss 0.5172, vq_loss 0.0706, rec_loss 0.4467, quant_error 0.2823, codebook_utilization 0.0025, codebook_perplexity 84.8624,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4909, vq_loss 0.0628, rec_loss 0.4281, quant_error 0.2512, codebook_utilization 0.0020, codebook_perplexity 84.9355,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4642, vq_loss 0.0549, rec_loss 0.4093, quant_error 0.2198, codebook_utilization 0.0017, codebook_perplexity 86.2958,
Train Epoch: [1/4] Iters:[90/40036] loss 0.4385, vq_loss 0.0478, rec_loss 0.3907, quant_error 0.1911, codebook_utilization 0.0016, codebook_perplexity 87.1597,
Train Epoch: [1/4] Iters:[100/40036] loss 0.4123, vq_loss 0.0418, rec_loss 0.3705, quant_error 0.1671, codebook_utilization 0.0015, codebook_perplexity 87.2145,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3940, vq_loss 0.0372, rec_loss 0.3568, quant_error 0.1486, codebook_utilization 0.0014, codebook_perplexity 85.6688,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3764, vq_loss 0.0338, rec_loss 0.3426, quant_error 0.1352, codebook_utilization 0.0014, codebook_perplexity 83.6040,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3621, vq_loss 0.0316, rec_loss 0.3305, quant_error 0.1263, codebook_utilization 0.0013, codebook_perplexity 81.0782,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3509, vq_loss 0.0304, rec_loss 0.3205, quant_error 0.1217, codebook_utilization 0.0013, codebook_perplexity 77.8811,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3387, vq_loss 0.0303, rec_loss 0.3083, quant_error 0.1213, codebook_utilization 0.0013, codebook_perplexity 73.7600,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3265, vq_loss 0.0314, rec_loss 0.2951, quant_error 0.1257, codebook_utilization 0.0013, codebook_perplexity 68.6319,
Train Epoch: [1/4] Iters:[170/40036] loss 0.3174, vq_loss 0.0328, rec_loss 0.2846, quant_error 0.1311, codebook_utilization 0.0013, codebook_perplexity 61.8725,
Train Epoch: [1/4] Iters:[180/40036] loss 0.3039, vq_loss 0.0341, rec_loss 0.2698, quant_error 0.1365, codebook_utilization 0.0013, codebook_perplexity 54.1538,
Train Epoch: [1/4] Iters:[190/40036] loss 0.2903, vq_loss 0.0350, rec_loss 0.2553, quant_error 0.1401, codebook_utilization 0.0013, codebook_perplexity 46.7120,
Train Epoch: [1/4] Iters:[200/40036] loss 0.2806, vq_loss 0.0354, rec_loss 0.2452, quant_error 0.1415, codebook_utilization 0.0013, codebook_perplexity 40.1182,
Train Epoch: [1/4] Iters:[210/40036] loss 0.2677, vq_loss 0.0346, rec_loss 0.2331, quant_error 0.1382, codebook_utilization 0.0013, codebook_perplexity 34.9263,
Train Epoch: [1/4] Iters:[220/40036] loss 0.2557, vq_loss 0.0336, rec_loss 0.2221, quant_error 0.1345, codebook_utilization 0.0012, codebook_perplexity 31.5420,
Train Epoch: [1/4] Iters:[230/40036] loss 0.2492, vq_loss 0.0327, rec_loss 0.2165, quant_error 0.1308, codebook_utilization 0.0012, codebook_perplexity 28.9719,
Train Epoch: [1/4] Iters:[240/40036] loss 0.2421, vq_loss 0.0317, rec_loss 0.2104, quant_error 0.1268, codebook_utilization 0.0012, codebook_perplexity 27.0725,
Train Epoch: [1/4] Iters:[250/40036] loss 0.2337, vq_loss 0.0306, rec_loss 0.2031, quant_error 0.1224, codebook_utilization 0.0011, codebook_perplexity 25.5082,
Train Epoch: [1/4] Iters:[260/40036] loss 0.2257, vq_loss 0.0298, rec_loss 0.1958, quant_error 0.1193, codebook_utilization 0.0011, codebook_perplexity 24.3753,
Train Epoch: [1/4] Iters:[270/40036] loss 0.2205, vq_loss 0.0291, rec_loss 0.1914, quant_error 0.1164, codebook_utilization 0.0011, codebook_perplexity 23.3470,
