dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 1.0
gamma: 0.0
alpha: 1.0
quantizer_name: vanilla_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_100000_8_16
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_quantizer_4
saver_name_pre: vanilla_quantizer_4_ImageNet_model_100000_8_16_loss_1.0_1.0_0.0
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 0.5301, vq_loss 0.0966, rec_loss 0.4334, quant_error 0.3864, codebook_utilization 0.0064, codebook_perplexity 102.2778,
Train Epoch: [1/4] Iters:[20/40036] loss 0.5334, vq_loss 0.0956, rec_loss 0.4378, quant_error 0.3826, codebook_utilization 0.0054, codebook_perplexity 95.7374,
Train Epoch: [1/4] Iters:[30/40036] loss 0.5226, vq_loss 0.0941, rec_loss 0.4285, quant_error 0.3763, codebook_utilization 0.0046, codebook_perplexity 90.4423,
Train Epoch: [1/4] Iters:[40/40036] loss 0.5085, vq_loss 0.0915, rec_loss 0.4170, quant_error 0.3660, codebook_utilization 0.0040, codebook_perplexity 87.4191,
Train Epoch: [1/4] Iters:[50/40036] loss 0.4961, vq_loss 0.0883, rec_loss 0.4078, quant_error 0.3532, codebook_utilization 0.0035, codebook_perplexity 85.6192,
Train Epoch: [1/4] Iters:[60/40036] loss 0.4742, vq_loss 0.0823, rec_loss 0.3919, quant_error 0.3292, codebook_utilization 0.0026, codebook_perplexity 80.8799,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4457, vq_loss 0.0751, rec_loss 0.3706, quant_error 0.3004, codebook_utilization 0.0020, codebook_perplexity 79.2317,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4224, vq_loss 0.0673, rec_loss 0.3551, quant_error 0.2693, codebook_utilization 0.0016, codebook_perplexity 80.2493,
Train Epoch: [1/4] Iters:[90/40036] loss 0.4022, vq_loss 0.0601, rec_loss 0.3421, quant_error 0.2405, codebook_utilization 0.0014, codebook_perplexity 81.2253,
Train Epoch: [1/4] Iters:[100/40036] loss 0.3839, vq_loss 0.0542, rec_loss 0.3297, quant_error 0.2167, codebook_utilization 0.0013, codebook_perplexity 82.0512,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3748, vq_loss 0.0501, rec_loss 0.3247, quant_error 0.2002, codebook_utilization 0.0012, codebook_perplexity 81.6035,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3659, vq_loss 0.0475, rec_loss 0.3184, quant_error 0.1900, codebook_utilization 0.0011, codebook_perplexity 79.1439,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3607, vq_loss 0.0467, rec_loss 0.3140, quant_error 0.1869, codebook_utilization 0.0011, codebook_perplexity 74.0119,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3600, vq_loss 0.0479, rec_loss 0.3121, quant_error 0.1915, codebook_utilization 0.0010, codebook_perplexity 67.3806,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3598, vq_loss 0.0505, rec_loss 0.3092, quant_error 0.2020, codebook_utilization 0.0010, codebook_perplexity 59.1487,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3629, vq_loss 0.0555, rec_loss 0.3074, quant_error 0.2218, codebook_utilization 0.0009, codebook_perplexity 50.5290,
Train Epoch: [1/4] Iters:[170/40036] loss 0.3724, vq_loss 0.0631, rec_loss 0.3092, quant_error 0.2525, codebook_utilization 0.0009, codebook_perplexity 42.3391,
Train Epoch: [1/4] Iters:[180/40036] loss 0.3827, vq_loss 0.0732, rec_loss 0.3095, quant_error 0.2927, codebook_utilization 0.0009, codebook_perplexity 35.0725,
Train Epoch: [1/4] Iters:[190/40036] loss 0.3897, vq_loss 0.0820, rec_loss 0.3078, quant_error 0.3279, codebook_utilization 0.0008, codebook_perplexity 29.6757,
Train Epoch: [1/4] Iters:[200/40036] loss 0.4003, vq_loss 0.0902, rec_loss 0.3101, quant_error 0.3607, codebook_utilization 0.0008, codebook_perplexity 26.0404,
Train Epoch: [1/4] Iters:[210/40036] loss 0.4037, vq_loss 0.0961, rec_loss 0.3076, quant_error 0.3844, codebook_utilization 0.0008, codebook_perplexity 24.0013,
Train Epoch: [1/4] Iters:[220/40036] loss 0.4063, vq_loss 0.1021, rec_loss 0.3043, quant_error 0.4083, codebook_utilization 0.0008, codebook_perplexity 22.6950,
Train Epoch: [1/4] Iters:[230/40036] loss 0.4130, vq_loss 0.1082, rec_loss 0.3049, quant_error 0.4326, codebook_utilization 0.0007, codebook_perplexity 22.1976,
Train Epoch: [1/4] Iters:[240/40036] loss 0.4186, vq_loss 0.1138, rec_loss 0.3047, quant_error 0.4553, codebook_utilization 0.0007, codebook_perplexity 21.9860,
Train Epoch: [1/4] Iters:[250/40036] loss 0.4254, vq_loss 0.1230, rec_loss 0.3023, quant_error 0.4921, codebook_utilization 0.0007, codebook_perplexity 21.6462,
