dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: ImageNet
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 100000
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 4
eval_epochs: 1
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 5000
decay_iters: 50000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/ImageNet
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/ImageNet
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/ImageNet
data_pre: ImageNet
model_pre: model_100000_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_4
saver_name_pre: wasserstein_quantizer_4_ImageNet_model_100000_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
len train_dataloader: 40036
len val_dataloader: 782
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/4] Iters:[10/40036] loss 1.1413, vq_loss 0.7105, rec_loss 0.4308, wasserstein_loss 1.3708, quant_error 0.1821, codebook_utilization 0.0174, codebook_perplexity 547.3243,
Train Epoch: [1/4] Iters:[20/40036] loss 0.9236, vq_loss 0.4846, rec_loss 0.4390, wasserstein_loss 0.9321, quant_error 0.1348, codebook_utilization 0.0169, codebook_perplexity 426.8163,
Train Epoch: [1/4] Iters:[30/40036] loss 0.8162, vq_loss 0.3804, rec_loss 0.4357, wasserstein_loss 0.7304, quant_error 0.1106, codebook_utilization 0.0194, codebook_perplexity 524.9144,
Train Epoch: [1/4] Iters:[40/40036] loss 0.7447, vq_loss 0.3068, rec_loss 0.4379, wasserstein_loss 0.5870, quant_error 0.0962, codebook_utilization 0.0206, codebook_perplexity 639.9644,
Train Epoch: [1/4] Iters:[50/40036] loss 0.6840, vq_loss 0.2546, rec_loss 0.4294, wasserstein_loss 0.4856, quant_error 0.0862, codebook_utilization 0.0220, codebook_perplexity 774.2351,
Train Epoch: [1/4] Iters:[60/40036] loss 0.5416, vq_loss 0.1187, rec_loss 0.4229, wasserstein_loss 0.2214, quant_error 0.0584, codebook_utilization 0.0245, codebook_perplexity 971.4344,
Train Epoch: [1/4] Iters:[70/40036] loss 0.4824, vq_loss 0.0728, rec_loss 0.4095, wasserstein_loss 0.1322, quant_error 0.0490, codebook_utilization 0.0277, codebook_perplexity 1289.9382,
Train Epoch: [1/4] Iters:[80/40036] loss 0.4426, vq_loss 0.0442, rec_loss 0.3984, wasserstein_loss 0.0761, quant_error 0.0443, codebook_utilization 0.0296, codebook_perplexity 1556.5136,
Train Epoch: [1/4] Iters:[90/40036] loss 0.4179, vq_loss 0.0335, rec_loss 0.3844, wasserstein_loss 0.0556, quant_error 0.0411, codebook_utilization 0.0318, codebook_perplexity 1821.5595,
Train Epoch: [1/4] Iters:[100/40036] loss 0.4032, vq_loss 0.0299, rec_loss 0.3733, wasserstein_loss 0.0491, quant_error 0.0390, codebook_utilization 0.0338, codebook_perplexity 2050.3515,
Train Epoch: [1/4] Iters:[110/40036] loss 0.3884, vq_loss 0.0308, rec_loss 0.3576, wasserstein_loss 0.0513, quant_error 0.0372, codebook_utilization 0.0357, codebook_perplexity 2289.0639,
Train Epoch: [1/4] Iters:[120/40036] loss 0.3718, vq_loss 0.0310, rec_loss 0.3408, wasserstein_loss 0.0523, quant_error 0.0357, codebook_utilization 0.0374, codebook_perplexity 2486.2272,
Train Epoch: [1/4] Iters:[130/40036] loss 0.3559, vq_loss 0.0328, rec_loss 0.3231, wasserstein_loss 0.0561, quant_error 0.0345, codebook_utilization 0.0391, codebook_perplexity 2682.8070,
Train Epoch: [1/4] Iters:[140/40036] loss 0.3357, vq_loss 0.0334, rec_loss 0.3023, wasserstein_loss 0.0576, quant_error 0.0335, codebook_utilization 0.0409, codebook_perplexity 2878.3556,
Train Epoch: [1/4] Iters:[150/40036] loss 0.3198, vq_loss 0.0338, rec_loss 0.2860, wasserstein_loss 0.0585, quant_error 0.0330, codebook_utilization 0.0425, codebook_perplexity 3074.4452,
Train Epoch: [1/4] Iters:[160/40036] loss 0.3030, vq_loss 0.0337, rec_loss 0.2693, wasserstein_loss 0.0583, quant_error 0.0328, codebook_utilization 0.0438, codebook_perplexity 3219.8700,
Train Epoch: [1/4] Iters:[170/40036] loss 0.2925, vq_loss 0.0342, rec_loss 0.2583, wasserstein_loss 0.0594, quant_error 0.0328, codebook_utilization 0.0449, codebook_perplexity 3346.5415,
Train Epoch: [1/4] Iters:[180/40036] loss 0.2776, vq_loss 0.0337, rec_loss 0.2439, wasserstein_loss 0.0582, quant_error 0.0331, codebook_utilization 0.0459, codebook_perplexity 3473.8669,
Train Epoch: [1/4] Iters:[190/40036] loss 0.2639, vq_loss 0.0324, rec_loss 0.2315, wasserstein_loss 0.0556, quant_error 0.0333, codebook_utilization 0.0468, codebook_perplexity 3578.2216,
Train Epoch: [1/4] Iters:[200/40036] loss 0.2500, vq_loss 0.0309, rec_loss 0.2190, wasserstein_loss 0.0526, quant_error 0.0336, codebook_utilization 0.0474, codebook_perplexity 3653.0630,
Train Epoch: [1/4] Iters:[210/40036] loss 0.2397, vq_loss 0.0303, rec_loss 0.2094, wasserstein_loss 0.0512, quant_error 0.0340, codebook_utilization 0.0481, codebook_perplexity 3739.5376,
Train Epoch: [1/4] Iters:[220/40036] loss 0.2315, vq_loss 0.0300, rec_loss 0.2015, wasserstein_loss 0.0506, quant_error 0.0344, codebook_utilization 0.0487, codebook_perplexity 3818.9476,
Train Epoch: [1/4] Iters:[230/40036] loss 0.2267, vq_loss 0.0302, rec_loss 0.1965, wasserstein_loss 0.0509, quant_error 0.0346, codebook_utilization 0.0492, codebook_perplexity 3886.4722,
Train Epoch: [1/4] Iters:[240/40036] loss 0.2199, vq_loss 0.0309, rec_loss 0.1890, wasserstein_loss 0.0521, quant_error 0.0350, codebook_utilization 0.0497, codebook_perplexity 3942.9093,
Train Epoch: [1/4] Iters:[250/40036] loss 0.2197, vq_loss 0.0334, rec_loss 0.1863, wasserstein_loss 0.0571, quant_error 0.0353, codebook_utilization 0.0503, codebook_perplexity 4025.6650,
Train Epoch: [1/4] Iters:[260/40036] loss 0.2164, vq_loss 0.0347, rec_loss 0.1817, wasserstein_loss 0.0596, quant_error 0.0354, codebook_utilization 0.0509, codebook_perplexity 4105.6273,
